window_start,Site,Ion,Concentration
1988-04-12,BQ1,nh4_ugl,64.2
1988-06-14,BQ1,k_mgl,0.7655555555555555
1988-06-14,BQ1,no3_ugl,NA
1988-06-14,BQ1,mg_mgl,2.267
1988-06-14,BQ1,ca_mgl,3.2977777777777777
1988-06-14,BQ1,nh4_ugl,113
1988-08-16,BQ1,k_mgl,0.7553846153846154
1988-08-16,BQ1,no3_ugl,93.83333333333333
1988-08-16,BQ1,mg_mgl,2.046666666666667
1988-08-16,BQ1,ca_mgl,2.8038461538461537
1988-08-16,BQ1,nh4_ugl,37.2
1988-10-18,BQ1,k_mgl,0.89375
1988-10-18,BQ1,no3_ugl,141.77777777777777
1988-10-18,BQ1,mg_mgl,2.61875
1988-10-18,BQ1,ca_mgl,4.1625
1988-10-18,BQ1,nh4_ugl,46
1988-12-20,BQ1,k_mgl,0.8588888888888889
1988-12-20,BQ1,no3_ugl,153
1988-12-20,BQ1,mg_mgl,2.502222222222222
1988-12-20,BQ1,ca_mgl,4.32875
1988-12-20,BQ1,nh4_ugl,NA
1989-02-21,BQ1,k_mgl,0.8366666666666667
1989-02-21,BQ1,no3_ugl,130.88888888888889
1989-02-21,BQ1,mg_mgl,2.73
1989-02-21,BQ1,ca_mgl,4.14
1989-02-21,BQ1,nh4_ugl,NA
1989-04-25,BQ1,k_mgl,0.9377777777777778
1989-04-25,BQ1,no3_ugl,141
1989-04-25,BQ1,mg_mgl,2.997777777777778
1989-04-25,BQ1,ca_mgl,4.794444444444444
1989-04-25,BQ1,nh4_ugl,NA
1989-06-27,BQ1,k_mgl,0.9444444444444444
1989-06-27,BQ1,no3_ugl,116.625
1989-06-27,BQ1,mg_mgl,2.5477777777777777
1989-06-27,BQ1,ca_mgl,3.991111111111111
1989-06-27,BQ1,nh4_ugl,NA
1989-08-29,BQ1,k_mgl,1.049090909090909
1989-08-29,BQ1,no3_ugl,81.6
1989-08-29,BQ1,mg_mgl,2.781
1989-08-29,BQ1,ca_mgl,4.265
1989-08-29,BQ1,nh4_ugl,NA
1989-10-31,BQ1,k_mgl,1.232
1989-10-31,BQ1,no3_ugl,324.1
1989-10-31,BQ1,mg_mgl,3.237
1989-10-31,BQ1,ca_mgl,5.118
1989-10-31,BQ1,nh4_ugl,NA
1990-01-02,BQ1,k_mgl,1.268888888888889
1990-01-02,BQ1,no3_ugl,118
1990-01-02,BQ1,mg_mgl,3.3233333333333333
1990-01-02,BQ1,ca_mgl,5.847777777777778
1990-01-02,BQ1,nh4_ugl,NA
1990-03-06,BQ1,k_mgl,1.4038461538461537
1990-03-06,BQ1,no3_ugl,480.6363636363636
1990-03-06,BQ1,mg_mgl,2.5215384615384617
1990-03-06,BQ1,ca_mgl,4.291538461538462
1990-03-06,BQ1,nh4_ugl,NA
1990-05-08,BQ1,k_mgl,1.238
1990-05-08,BQ1,no3_ugl,208.1
1990-05-08,BQ1,mg_mgl,3.11
1990-05-08,BQ1,ca_mgl,5.267
1990-05-08,BQ1,nh4_ugl,NA
1990-07-10,BQ1,k_mgl,1.0133333333333334
1990-07-10,BQ1,no3_ugl,117.44444444444444
1990-07-10,BQ1,mg_mgl,3.2533333333333334
1990-07-10,BQ1,ca_mgl,5.6433333333333335
1990-07-10,BQ1,nh4_ugl,NA
1990-09-11,BQ1,k_mgl,0.9322222222222222
1990-09-11,BQ1,no3_ugl,97.83333333333333
1990-09-11,BQ1,mg_mgl,2.997777777777778
1990-09-11,BQ1,ca_mgl,5.207777777777778
1990-09-11,BQ1,nh4_ugl,NA
1990-11-13,BQ1,k_mgl,1.0736363636363637
1990-11-13,BQ1,no3_ugl,132.0909090909091
1990-11-13,BQ1,mg_mgl,2.7827272727272727
1990-11-13,BQ1,ca_mgl,4.642727272727273
1990-11-13,BQ1,nh4_ugl,NA
1991-01-15,BQ1,k_mgl,0.8144444444444444
1991-01-15,BQ1,no3_ugl,87.85714285714286
1991-01-15,BQ1,mg_mgl,3.223333333333333
1991-01-15,BQ1,ca_mgl,5.7844444444444445
1991-01-15,BQ1,nh4_ugl,NA
1991-03-19,BQ1,k_mgl,0.8333333333333334
1991-03-19,BQ1,no3_ugl,59.77777777777778
1991-03-19,BQ1,mg_mgl,2.9811111111111113
1991-03-19,BQ1,ca_mgl,5.421111111111111
1991-03-19,BQ1,nh4_ugl,NA
1991-05-21,BQ1,k_mgl,0.914
1991-05-21,BQ1,no3_ugl,54.75
1991-05-21,BQ1,mg_mgl,3.0629999999999997
1991-05-21,BQ1,ca_mgl,5.314
1991-05-21,BQ1,nh4_ugl,NA
1991-07-23,BQ1,k_mgl,1.012
1991-07-23,BQ1,no3_ugl,40.77777777777778
1991-07-23,BQ1,mg_mgl,3.801
1991-07-23,BQ1,ca_mgl,6.164
1991-07-23,BQ1,nh4_ugl,NA
1991-09-24,BQ1,k_mgl,1.1225
1991-09-24,BQ1,no3_ugl,80.5
1991-09-24,BQ1,mg_mgl,2.8266666666666667
1991-09-24,BQ1,ca_mgl,4.400833333333333
1991-09-24,BQ1,nh4_ugl,NA
1991-11-26,BQ1,k_mgl,1.1477777777777778
1991-11-26,BQ1,no3_ugl,188.375
1991-11-26,BQ1,mg_mgl,3.0455555555555556
1991-11-26,BQ1,ca_mgl,5.041111111111111
1991-11-26,BQ1,nh4_ugl,NA
1992-01-28,BQ1,k_mgl,1.1520000000000001
1992-01-28,BQ1,no3_ugl,151
1992-01-28,BQ1,mg_mgl,3.128
1992-01-28,BQ1,ca_mgl,5.376
1992-01-28,BQ1,nh4_ugl,NA
1992-03-31,BQ1,k_mgl,1.051111111111111
1992-03-31,BQ1,no3_ugl,63.125
1992-03-31,BQ1,mg_mgl,3.3244444444444445
1992-03-31,BQ1,ca_mgl,5.618888888888889
1992-03-31,BQ1,nh4_ugl,NA
1992-06-02,BQ1,k_mgl,1.1566666666666667
1992-06-02,BQ1,no3_ugl,58.25
1992-06-02,BQ1,mg_mgl,2.8633333333333333
1992-06-02,BQ1,ca_mgl,4.7877777777777775
1992-06-02,BQ1,nh4_ugl,NA
1992-08-04,BQ1,k_mgl,1.1144444444444446
1992-08-04,BQ1,no3_ugl,102.66666666666667
1992-08-04,BQ1,mg_mgl,3.236666666666667
1992-08-04,BQ1,ca_mgl,5.694444444444445
1992-08-04,BQ1,nh4_ugl,NA
1992-10-06,BQ1,k_mgl,0.9877777777777778
1992-10-06,BQ1,no3_ugl,76.28571428571429
1992-10-06,BQ1,mg_mgl,3.002222222222222
1992-10-06,BQ1,ca_mgl,5.384444444444444
1992-10-06,BQ1,nh4_ugl,NA
1992-12-08,BQ1,k_mgl,1.0822222222222222
1992-12-08,BQ1,no3_ugl,20.5
1992-12-08,BQ1,mg_mgl,2.897777777777778
1992-12-08,BQ1,ca_mgl,4.845555555555555
1992-12-08,BQ1,nh4_ugl,NA
1993-02-09,BQ1,k_mgl,1.12
1993-02-09,BQ1,no3_ugl,125.33333333333333
1993-02-09,BQ1,mg_mgl,3.4466666666666668
1993-02-09,BQ1,ca_mgl,5.72
1993-02-09,BQ1,nh4_ugl,NA
1993-04-13,BQ1,k_mgl,1.22
1993-04-13,BQ1,no3_ugl,69.11111111111111
1993-04-13,BQ1,mg_mgl,3.4755555555555557
1993-04-13,BQ1,ca_mgl,5.415555555555556
1993-04-13,BQ1,nh4_ugl,NA
